rpt_rec_num,prvdr_num_chr,provider_name,city,state_abbrev,raw_provider_model_class,clean_provider_group,clean_provider_model_class,revenue_source_method,stabilization_tier,stabilization_basis,net_patient_revenue_model,outpatient_exposure_used,outpatient_repricing_pressure,uncompensated_care_offset,stabilization_support,base_net_impact,base_net_impact_pct_npr,current_access_support,current_access_net_impact_pct_npr,enhanced_access_support,enhanced_access_net_impact_pct_npr,high_access_support,high_access_net_impact_pct_npr,enhanced_plus_floor_2pct_support,enhanced_plus_floor_2pct_net_impact_pct_npr,enhanced_plus_floor_1_5pct_support,enhanced_plus_floor_1_5pct_net_impact_pct_npr,high_plus_floor_1pct_support,high_plus_floor_1pct_net_impact_pct_npr
825509,121301,KAU HOSPITAL,PAHALA,HI,Critical access hospital,Rural / CAH / IHS,CAH candidate - internally safe,standard_g2_l028_split,Tier 2 - moderate transition support,class-based transition protection,49861515,44354974.1654203,-4435497.41654203,18879,443549.741654203,-3973068.67488783,-0.0796820689240555,498615.15,-0.0696820689240556,997230.3,-0.0596820689240556,1495845.45,-0.0496820689240556,2975838.37488783,-0.02,3225145.94988783,-0.015,3474453.52488783,-0.01
823849,141336,ST. JOSEPHS HOSPITAL-HIGHLAND IL,HIGHLAND,IL,Short-term acute/general hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,standard_g2_l028_split,Tier 2 - moderate transition support,class + UC burden,57088657,49746385.7153778,-4974638.57153778,281940,497463.857153778,-4195234.71438401,-0.0734863094499492,570886.57,-0.0634863094499492,1141773.14,-0.0534863094499492,1712659.71,-0.0434863094499492,3053461.57438401,-0.02,3338904.85938401,-0.015,3624348.14438401,-0.01
824336,321307,MINER OF COLFAX MEDICAL CENTER,RATON,NM,Critical access hospital,Rural / CAH / IHS,CAH candidate - internally safe,standard_g2_l028_split,Tier 2 - moderate transition support,class + UC burden,22059559,18012475.6556464,-1801247.56556464,18244.75,180124.756556464,-1602878.05900817,-0.0726613827143223,220595.59,-0.0626613827143222,441191.18,-0.0526613827143222,661786.77,-0.0426613827143222,1161686.87900817,-0.02,1271984.67400817,-0.015,1382282.46900817,-0.01
813507,501309,PROVIDENCE ST JOSEPHS HOSPITAL,CHEWELAH,WA,Short-term acute/general hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,standard_g2_l028_split,Tier 2 - moderate transition support,class + UC burden,23761643,20789166.2924083,-2078916.62924083,169930.25,207891.662924083,-1701094.71631674,-0.0715899450352294,237616.43,-0.0615899450352293,475232.86,-0.0515899450352293,712849.29,-0.0415899450352293,1225861.85631674,-0.02,1344670.07131674,-0.015,1463478.28631674,-0.01
825760,140145,ST. JOSEPHS HOSPITAL,BREESE,IL,Short-term acute/general hospital,Rural / CAH / IHS,Rural primary care / IHS-like hospital,standard_g2_l028_split,Tier 2 - moderate transition support,class + UC burden,77073776,63644276.7479283,-6364427.67479283,368471.25,636442.767479283,-5359513.65731355,-0.0695374475659989,770737.76,-0.059537447565999,1541475.52,-0.049537447565999,2312213.28,-0.039537447565999,3818038.13731355,-0.02,4203407.01731355,-0.015,4588775.89731355,-0.01
827959,490104,HIRAM W DAVIS MEDICAL CENTER - MS,PETERSBURG,VA,Critical access hospital,Rural / CAH / IHS,CAH candidate - internally safe,nonstandard_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,18723274,13341592.1,-1334159.21,0,133415.921,-1200743.289,-0.0641310536287617,187232.74,-0.0541310536287617,374465.48,-0.0441310536287617,561698.22,-0.0341310536287617,826277.809,-0.02,919894.179,-0.015,1013510.549,-0.01
815839,241314,JOHNSON MEMORIAL HOSPITAL,DAWSON,MN,Critical access hospital,Rural / CAH / IHS,CAH candidate - internally safe,standard_g2_l028_split,Tier 2 - moderate transition support,class + UC burden,25001212,16752494.7232483,-1675249.47232483,31898,167524.947232483,-1475826.52509235,-0.0590301992196358,250012.12,-0.0490301992196358,500024.24,-0.0390301992196358,750036.36,-0.0290301992196358,975802.28509235,-0.02,1100808.34509235,-0.015,1225814.40509235,-0.01
826282,54124,HUMBOLDT COUNTY - SEMPREVIRENS,EUREKA,CA,Critical access hospital,Rural / CAH / IHS,CAH candidate - internally safe,nonstandard_g200000_l04300_fallback,Tier 2 - moderate transition support,class-based transition protection,11835355,7746660.4,-774666.04,0,77466.604,-697199.436,-0.0589081980219436,118353.55,-0.0489081980219436,236707.1,-0.0389081980219436,355060.65,-0.0289081980219436,460492.336,-0.02,519669.111,-0.015,578845.886,-0.01
828323,121306,SAMUEL MAHELONA MEMORIAL HOSPITAL,KAPAA KAUAI,HI,Critical access hospital,Rural / CAH / IHS,CAH candidate - internally safe,standard_g2_l028_split,Tier 2 - moderate transition support,class + UC burden,46351698,32030663.922828,-3203066.3922828,172460.75,320306.63922828,-2710299.00305452,-0.0584724857987839,463516.98,-0.0484724857987839,927033.96,-0.0384724857987839,1390550.94,-0.0284724857987839,1783265.04305452,-0.02,2015023.53305452,-0.015,2246782.02305452,-0.01
828322,121300,KAUAI VETERANS MEMORIAL HOSPITAL,WAIMEA KAUAI,HI,Critical access hospital,Rural / CAH / IHS,CAH candidate - internally safe,standard_g2_l028_split,Tier 2 - moderate transition support,class + UC burden,55584084,34196264.5319083,-3419626.45319084,98862.5,341962.645319084,-2978801.30787175,-0.0535909039694124,555840.84,-0.0435909039694124,1111681.68,-0.0335909039694124,1667522.52,-0.0235909039694124,1867119.62787175,-0.02,2145040.04787175,-0.015,2422960.46787175,-0.01
